text,label
"I have runny nose, fever, fatigue, chest pain, insomnia, depression, blurred vision.",Anemia
"I have headache, fever, vomiting, abdominal pain, shortness of breath.",Bronchitis
"I have runny nose, shortness of breath, cough, joint pain, back pain, sweating, weight gain.",Covid-19
"I have sweating, shortness of breath, nausea, weight gain.",Diabetes
"I have diarrhea, back pain, abdominal pain.",Dermatitis
"I have weight loss, rash, diarrhea, fatigue, nausea.",Influenza
"I have anxiety, depression, fatigue, sweating.",Heart Disease
"I have depression, sneezing, cough, sweating, runny nose, headache.",Covid-19
"I have joint pain, depression, back pain, sneezing.",Dermatitis
"I have nausea, sweating, abdominal pain.",Thyroid Disorder
"I have fatigue, sweating, sore throat, weight loss, muscle pain, weight gain.",Allergy
"I have headache, blurred vision, nausea, fatigue.",Sinusitis
"I have cough, shortness of breath, muscle pain, diarrhea, depression, appetite loss, chest pain.",Ibs
"I have insomnia, vomiting, appetite loss, anxiety, blurred vision, rash, abdominal pain.",Chronic Kidney Disease
"I have weight gain, nausea, sweating, depression, appetite loss.",Migraine
"I have fever, shortness of breath, diarrhea, sore throat, nausea, abdominal pain, muscle pain.",Diabetes
"I have fever, weight gain, swelling, anxiety, insomnia.",Depression
"I have cough, muscle pain, insomnia, fever, fatigue.",Parkinson'S
"I have tremors, shortness of breath, anxiety, headache, rash, sweating, depression.",Anemia
"I have headache, weight gain, back pain, tremors, depression.",Chronic Kidney Disease
"I have joint pain, cough, nausea.",Ibs
"I have depression, insomnia, fever, back pain, shortness of breath, nausea, anxiety.",Ulcer
"I have diarrhea, sneezing, depression, anxiety, nausea.",Covid-19
"I have weight loss, diarrhea, appetite loss, anxiety, nausea, weight gain.",Parkinson'S
"I have insomnia, sneezing, depression, abdominal pain.",Anxiety
"I have weight loss, appetite loss, rash.",Anxiety
"I have fatigue, diarrhea, dizziness, sneezing, anxiety, insomnia.",Influenza
"I have rash, chest pain, swelling.",Thyroid Disorder
"I have shortness of breath, muscle pain, headache.",Pneumonia
"I have cough, nausea, sweating, weight loss, anxiety.",Stroke
"I have muscle pain, dizziness, back pain, cough.",Epilepsy
"I have joint pain, dizziness, fever, muscle pain.",Ibs
"I have sneezing, sore throat, blurred vision, headache, fatigue, fever.",Diabetes
"I have back pain, muscle pain, dizziness.",Liver Disease
"I have muscle pain, weight loss, runny nose, sore throat, abdominal pain, tremors, insomnia.",Anxiety
"I have diarrhea, fatigue, nausea, sore throat, back pain, headache.",Depression
"I have sore throat, abdominal pain, muscle pain.",Tuberculosis
"I have weight gain, rash, sore throat, dizziness, anxiety.",Anxiety
"I have fever, shortness of breath, insomnia, diarrhea.",Parkinson'S
"I have headache, depression, weight loss.",Parkinson'S
"I have back pain, fever, weight gain, blurred vision, sneezing.",Parkinson'S
"I have muscle pain, fever, fatigue, insomnia, cough, rash, nausea.",Epilepsy
"I have blurred vision, dizziness, weight loss, chest pain, rash, muscle pain.",Pneumonia
"I have joint pain, abdominal pain, back pain.",Covid-19
"I have shortness of breath, diarrhea, weight loss, insomnia.",Allergy
"I have depression, vomiting, abdominal pain, nausea, rash.",Ulcer
"I have sore throat, appetite loss, chest pain, fever, runny nose.",Migraine
"I have chest pain, weight gain, rash, runny nose, abdominal pain, nausea.",Diabetes
"I have cough, abdominal pain, depression, weight loss, rash, vomiting.",Thyroid Disorder
"I have appetite loss, joint pain, sneezing, sweating, back pain.",Sinusitis
"I have runny nose, blurred vision, nausea.",Covid-19
"I have muscle pain, blurred vision, weight loss.",Depression
"I have anxiety, weight gain, chest pain, cough, fever.",Hypertension
"I have cough, nausea, muscle pain.",Allergy
"I have abdominal pain, joint pain, shortness of breath.",Food Poisoning
"I have insomnia, chest pain, muscle pain.",Sinusitis
"I have sneezing, fever, weight gain, nausea, back pain, joint pain, abdominal pain.",Thyroid Disorder
"I have weight gain, blurred vision, fever, cough.",Obesity
"I have chest pain, weight gain, sneezing, insomnia, fever, tremors, swelling.",Depression
"I have back pain, chest pain, dizziness, diarrhea, fever.",Common Cold
"I have runny nose, joint pain, insomnia.",Tuberculosis
"I have vomiting, back pain, runny nose, depression, chest pain.",Allergy
"I have shortness of breath, headache, sweating, chest pain, cough.",Ulcer
"I have joint pain, depression, sore throat, nausea, appetite loss, blurred vision.",Covid-19
"I have abdominal pain, dizziness, anxiety.",Covid-19
"I have chest pain, joint pain, swelling, rash.",Asthma
"I have fatigue, vomiting, back pain, rash, tremors.",Chronic Kidney Disease
"I have back pain, sweating, sneezing, abdominal pain.",Anxiety
"I have sore throat, sneezing, rash, cough.",Bronchitis
"I have shortness of breath, blurred vision, runny nose, abdominal pain.",Bronchitis
"I have sneezing, weight loss, dizziness, sore throat.",Allergy
"I have weight loss, headache, dizziness, sweating, back pain, muscle pain, depression.",Depression
"I have joint pain, sneezing, shortness of breath, weight loss, abdominal pain.",Hypertension
"I have dizziness, runny nose, weight loss.",Covid-19
"I have runny nose, cough, fever, tremors, vomiting, shortness of breath, weight gain.",Hypertension
"I have fever, weight loss, shortness of breath, nausea, anxiety, sore throat, vomiting.",Diabetes
"I have blurred vision, joint pain, shortness of breath, fever, swelling.",Epilepsy
"I have diarrhea, headache, chest pain, muscle pain, fever, rash.",Parkinson'S
"I have tremors, sweating, nausea, diarrhea, cough, vomiting, headache.",Diabetes
"I have shortness of breath, blurred vision, sweating, dizziness, chest pain.",Diabetes
"I have weight gain, runny nose, swelling.",Sinusitis
"I have sweating, tremors, weight gain.",Depression
"I have vomiting, anxiety, fever, fatigue, rash.",Anxiety
"I have sweating, shortness of breath, blurred vision, fatigue, sneezing, diarrhea.",Heart Disease
"I have muscle pain, sore throat, tremors, shortness of breath, back pain, abdominal pain.",Migraine
"I have sore throat, back pain, swelling, joint pain, fever.",Asthma
"I have runny nose, depression, fatigue, swelling, fever, joint pain.",Bronchitis
"I have sore throat, headache, shortness of breath.",Obesity
"I have headache, dizziness, insomnia, tremors.",Hypertension
"I have sore throat, headache, depression.",Anxiety
"I have anxiety, blurred vision, back pain, rash, cough, vomiting, appetite loss.",Pneumonia
"I have dizziness, joint pain, shortness of breath, sweating, nausea.",Sinusitis
"I have sore throat, fatigue, fever, blurred vision, shortness of breath, sneezing, depression.",Thyroid Disorder
"I have muscle pain, shortness of breath, anxiety, vomiting, weight gain, sneezing.",Obesity
"I have dizziness, diarrhea, appetite loss, headache, weight loss.",Parkinson'S
"I have vomiting, nausea, cough, chest pain.",Allergy
"I have chest pain, insomnia, sneezing, depression.",Bronchitis
"I have weight loss, sweating, runny nose, rash.",Ibs
"I have nausea, insomnia, abdominal pain.",Pneumonia
"I have weight loss, runny nose, chest pain, sweating, sneezing, back pain.",Depression
"I have abdominal pain, sweating, depression, back pain, anxiety, weight loss, diarrhea.",Bronchitis
"I have back pain, fever, vomiting, diarrhea.",Food Poisoning
"I have chest pain, headache, nausea, dizziness, shortness of breath, diarrhea.",Heart Disease
"I have nausea, anxiety, joint pain, insomnia, runny nose, weight loss.",Thyroid Disorder
"I have fever, blurred vision, joint pain, swelling, vomiting.",Allergy
"I have nausea, diarrhea, weight loss.",Thyroid Disorder
"I have runny nose, swelling, headache, joint pain, diarrhea, anxiety.",Influenza
"I have dizziness, chest pain, insomnia, joint pain, muscle pain, headache.",Sinusitis
"I have rash, anxiety, sweating, shortness of breath.",Asthma
"I have dizziness, headache, appetite loss, weight loss, depression, sweating.",Covid-19
"I have sweating, blurred vision, muscle pain, appetite loss, cough, depression.",Dermatitis
"I have dizziness, depression, nausea, runny nose.",Ibs
"I have abdominal pain, tremors, diarrhea, fatigue.",Allergy
"I have sneezing, muscle pain, fever.",Chronic Kidney Disease
"I have sore throat, chest pain, cough.",Common Cold
"I have weight gain, muscle pain, diarrhea, nausea, appetite loss, abdominal pain, sweating.",Anemia
"I have sneezing, rash, runny nose, sore throat.",Common Cold
"I have sore throat, appetite loss, depression.",Allergy
"I have swelling, sweating, weight gain, anxiety, joint pain, muscle pain, blurred vision.",Tuberculosis
"I have diarrhea, runny nose, swelling, shortness of breath.",Ulcer
"I have fatigue, dizziness, anxiety, headache, appetite loss.",Migraine
"I have fever, sore throat, anxiety, diarrhea, depression, runny nose.",Parkinson'S
"I have depression, diarrhea, anxiety, appetite loss, weight loss, insomnia, sore throat.",Migraine
"I have muscle pain, shortness of breath, dizziness, headache, tremors, depression.",Asthma
"I have appetite loss, dizziness, vomiting, anxiety, cough, weight loss, runny nose.",Arthritis
"I have blurred vision, weight gain, anxiety, muscle pain, tremors.",Influenza
"I have anxiety, blurred vision, vomiting, sneezing, dizziness.",Chronic Kidney Disease
"I have weight gain, headache, appetite loss, weight loss.",Asthma
"I have appetite loss, chest pain, vomiting, sore throat, muscle pain.",Dementia
"I have fatigue, chest pain, joint pain.",Ibs
"I have rash, swelling, runny nose, cough, vomiting, sore throat.",Liver Disease
"I have fever, back pain, sneezing.",Epilepsy
"I have insomnia, chest pain, fever, dizziness, weight loss, depression, sneezing.",Influenza
"I have runny nose, headache, rash, depression, back pain, blurred vision, sweating.",Hypertension
"I have vomiting, runny nose, rash, sore throat, shortness of breath, fatigue, fever.",Common Cold
"I have chest pain, nausea, swelling.",Dermatitis
"I have dizziness, chest pain, cough, nausea, vomiting.",Bronchitis
"I have depression, shortness of breath, weight gain, fever, diarrhea, muscle pain.",Asthma
"I have vomiting, tremors, insomnia, dizziness, chest pain, weight gain.",Dementia
"I have tremors, insomnia, chest pain.",Liver Disease
"I have headache, muscle pain, anxiety.",Dementia
"I have rash, weight loss, headache, shortness of breath, fever, sweating.",Allergy
"I have insomnia, fever, anxiety.",Bronchitis
"I have headache, runny nose, shortness of breath, tremors, fatigue.",Epilepsy
"I have insomnia, fatigue, appetite loss, runny nose.",Dermatitis
"I have rash, cough, sweating, chest pain, sneezing, anxiety, depression.",Hypertension
"I have weight loss, fatigue, sweating, headache, blurred vision.",Anxiety
"I have abdominal pain, dizziness, sore throat, muscle pain, tremors, rash, fever.",Sinusitis
"I have tremors, nausea, chest pain, weight gain, dizziness, joint pain.",Anxiety
"I have sneezing, insomnia, weight loss.",Heart Disease
"I have dizziness, weight gain, fatigue, fever, depression, rash.",Obesity
"I have swelling, runny nose, muscle pain, chest pain, joint pain, sore throat, blurred vision.",Bronchitis
"I have dizziness, fever, rash, nausea, abdominal pain.",Arthritis
"I have sneezing, depression, runny nose, chest pain, sweating, fatigue, swelling.",Thyroid Disorder
"I have abdominal pain, tremors, runny nose.",Depression
"I have rash, depression, diarrhea, appetite loss.",Sinusitis
"I have shortness of breath, tremors, swelling, abdominal pain, rash, nausea.",Migraine
"I have anxiety, swelling, muscle pain, sneezing, headache, abdominal pain, nausea.",Obesity
"I have tremors, runny nose, vomiting, sweating.",Anxiety
"I have tremors, shortness of breath, sore throat.",Pneumonia
"I have headache, joint pain, sneezing.",Pneumonia
"I have back pain, weight gain, anxiety, abdominal pain.",Epilepsy
"I have fatigue, appetite loss, nausea, back pain, headache, rash, fever.",Ulcer
"I have insomnia, nausea, sore throat, runny nose, sneezing.",Allergy
"I have fatigue, anxiety, chest pain, tremors, blurred vision.",Sinusitis
"I have runny nose, muscle pain, anxiety, abdominal pain, vomiting, insomnia.",Pneumonia
"I have nausea, muscle pain, sore throat, headache, joint pain, swelling.",Influenza
"I have dizziness, sweating, tremors, appetite loss, depression, chest pain.",Anemia
"I have appetite loss, sore throat, fatigue, cough.",Tuberculosis
"I have tremors, appetite loss, diarrhea, rash, abdominal pain, muscle pain, sneezing.",Food Poisoning
"I have shortness of breath, chest pain, diarrhea, runny nose.",Ibs
"I have swelling, vomiting, headache.",Gastritis
"I have back pain, headache, swelling, blurred vision.",Dementia
"I have nausea, appetite loss, shortness of breath.",Arthritis
"I have nausea, abdominal pain, sweating, blurred vision, weight loss.",Tuberculosis
"I have fatigue, headache, diarrhea, anxiety, tremors, sneezing, vomiting.",Liver Disease
"I have dizziness, fatigue, back pain, weight gain, nausea, joint pain.",Influenza
"I have anxiety, weight gain, fever, blurred vision, appetite loss.",Arthritis
"I have dizziness, rash, fever, weight loss, joint pain.",Stroke
"I have rash, back pain, cough.",Depression
"I have tremors, nausea, cough, sore throat, sweating, depression, sneezing.",Thyroid Disorder
"I have diarrhea, abdominal pain, weight loss, vomiting, insomnia, cough, anxiety.",Pneumonia
"I have weight loss, sore throat, dizziness.",Parkinson'S
"I have anxiety, weight gain, fatigue, sore throat, tremors, headache, nausea.",Pneumonia
"I have dizziness, weight gain, rash, depression.",Allergy
"I have joint pain, fatigue, appetite loss, tremors, shortness of breath, runny nose, anxiety.",Common Cold
"I have sneezing, anxiety, headache.",Depression
"I have rash, shortness of breath, chest pain, fatigue, blurred vision.",Dermatitis
"I have anxiety, insomnia, vomiting, runny nose.",Sinusitis
"I have sneezing, nausea, sweating, muscle pain, diarrhea, fever.",Asthma
"I have blurred vision, chest pain, nausea, shortness of breath, headache, weight gain.",Influenza
"I have muscle pain, fatigue, cough, appetite loss, nausea.",Dermatitis
"I have tremors, depression, fever, muscle pain.",Influenza
"I have sore throat, swelling, shortness of breath, rash.",Anemia
"I have muscle pain, sore throat, shortness of breath, fatigue, headache.",Anxiety
"I have anxiety, headache, appetite loss, abdominal pain.",Epilepsy
"I have abdominal pain, nausea, muscle pain, weight gain, runny nose.",Covid-19
"I have cough, chest pain, blurred vision.",Ulcer
"I have cough, insomnia, blurred vision, shortness of breath, joint pain.",Obesity
"I have shortness of breath, dizziness, blurred vision, swelling, fatigue.",Bronchitis
"I have sneezing, runny nose, weight loss, vomiting, sore throat.",Parkinson'S
"I have nausea, weight loss, cough, depression, fever, sneezing, diarrhea.",Bronchitis
"I have appetite loss, tremors, diarrhea, shortness of breath, abdominal pain.",Migraine
"I have diarrhea, weight loss, blurred vision.",Bronchitis
"I have weight gain, diarrhea, abdominal pain, fever, shortness of breath, runny nose, cough.",Migraine
"I have sore throat, swelling, shortness of breath, sneezing, insomnia, weight loss, chest pain.",Common Cold
"I have runny nose, sneezing, tremors, abdominal pain.",Allergy
"I have abdominal pain, insomnia, cough.",Food Poisoning
"I have headache, muscle pain, back pain, anxiety, abdominal pain, rash.",Pneumonia
"I have dizziness, tremors, weight loss, cough.",Asthma
"I have rash, anxiety, insomnia, back pain, chest pain, weight gain.",Stroke
"I have muscle pain, abdominal pain, shortness of breath, fever, back pain, anxiety.",Hypertension
"I have chest pain, fever, runny nose, dizziness.",Ibs
"I have nausea, headache, sweating.",Allergy
"I have insomnia, sneezing, weight loss, dizziness, swelling.",Bronchitis
"I have headache, insomnia, rash, muscle pain, fatigue, shortness of breath.",Heart Disease
"I have fatigue, blurred vision, insomnia, vomiting, dizziness, sneezing.",Depression
"I have back pain, chest pain, sweating, appetite loss, fever, shortness of breath, sore throat.",Parkinson'S
"I have muscle pain, sneezing, weight loss, abdominal pain.",Thyroid Disorder
"I have sneezing, weight loss, depression, anxiety, shortness of breath, chest pain.",Allergy
"I have rash, blurred vision, abdominal pain, muscle pain.",Tuberculosis
"I have fatigue, fever, appetite loss, runny nose.",Migraine
"I have diarrhea, blurred vision, headache, appetite loss, sore throat.",Migraine
"I have runny nose, sneezing, swelling.",Hypertension
"I have shortness of breath, joint pain, runny nose, chest pain.",Thyroid Disorder
"I have joint pain, muscle pain, anxiety, depression, headache.",Gastritis
"I have sore throat, vomiting, fatigue, cough, shortness of breath, muscle pain, rash.",Bronchitis
"I have sweating, runny nose, insomnia.",Common Cold
"I have tremors, joint pain, dizziness, back pain.",Ulcer
"I have sneezing, back pain, insomnia, abdominal pain, nausea, headache, depression.",Diabetes
"I have fatigue, muscle pain, swelling, tremors.",Hypertension
"I have weight gain, headache, depression, muscle pain, abdominal pain.",Migraine
"I have dizziness, swelling, nausea, tremors, joint pain.",Thyroid Disorder
"I have muscle pain, nausea, fever, dizziness, diarrhea.",Food Poisoning
"I have blurred vision, sore throat, muscle pain, headache, appetite loss, sneezing.",Bronchitis
"I have fatigue, blurred vision, weight loss, abdominal pain.",Sinusitis
"I have diarrhea, dizziness, joint pain, fever.",Dermatitis
"I have weight gain, shortness of breath, sweating, runny nose, appetite loss, fever.",Anxiety
"I have rash, fatigue, back pain, dizziness.",Dermatitis
"I have dizziness, back pain, nausea, sore throat.",Asthma
"I have blurred vision, tremors, chest pain, weight gain, insomnia.",Asthma
"I have nausea, weight loss, joint pain.",Pneumonia
"I have fever, dizziness, cough, appetite loss.",Common Cold
"I have diarrhea, depression, fever.",Sinusitis
"I have nausea, headache, shortness of breath, rash, blurred vision, joint pain.",Migraine
"I have swelling, abdominal pain, anxiety.",Food Poisoning
"I have tremors, muscle pain, joint pain, nausea, fatigue.",Diabetes
"I have weight loss, fatigue, muscle pain, swelling, shortness of breath.",Covid-19
"I have back pain, abdominal pain, runny nose, nausea, joint pain.",Obesity
"I have abdominal pain, rash, vomiting, blurred vision, cough.",Dementia
"I have joint pain, abdominal pain, weight gain, vomiting.",Hypertension
"I have sneezing, fever, shortness of breath, anxiety, dizziness, appetite loss, sweating.",Covid-19
"I have sweating, runny nose, muscle pain.",Depression
"I have appetite loss, nausea, fatigue, anxiety.",Migraine
"I have blurred vision, fatigue, shortness of breath, appetite loss.",Food Poisoning
"I have swelling, muscle pain, blurred vision, sore throat, fever.",Arthritis
"I have fever, swelling, depression, abdominal pain, joint pain, nausea.",Food Poisoning
"I have sneezing, tremors, sweating, fever.",Parkinson'S
"I have muscle pain, tremors, fever, back pain, cough, rash, shortness of breath.",Common Cold
"I have sweating, chest pain, muscle pain, weight loss, weight gain, dizziness, vomiting.",Dermatitis
"I have nausea, joint pain, cough.",Hypertension
"I have back pain, sore throat, fatigue.",Hypertension
"I have fever, fatigue, sore throat, dizziness, tremors, chest pain.",Ulcer
"I have depression, anxiety, shortness of breath, diarrhea, rash, joint pain, blurred vision.",Anxiety
"I have sore throat, chest pain, tremors.",Arthritis
"I have sneezing, back pain, headache, sore throat, appetite loss, fever, rash.",Anemia
"I have cough, diarrhea, fever, chest pain.",Tuberculosis
"I have muscle pain, depression, sneezing, vomiting, rash, weight loss, fatigue.",Heart Disease
"I have blurred vision, back pain, sweating, weight loss, dizziness, chest pain, runny nose.",Heart Disease
"I have sore throat, weight loss, fever, fatigue.",Pneumonia
"I have shortness of breath, headache, chest pain, sweating, sneezing.",Dementia
"I have chest pain, blurred vision, anxiety, nausea, depression, joint pain.",Ibs
"I have muscle pain, shortness of breath, weight loss.",Pneumonia
"I have insomnia, weight loss, nausea, sore throat, runny nose.",Sinusitis
"I have weight gain, rash, headache.",Thyroid Disorder
"I have cough, joint pain, vomiting, runny nose, sweating, diarrhea, sore throat.",Thyroid Disorder
"I have nausea, fever, muscle pain, chest pain.",Bronchitis
"I have anxiety, insomnia, shortness of breath, swelling.",Influenza
"I have sore throat, headache, sweating, diarrhea, joint pain, blurred vision, appetite loss.",Gastritis
"I have headache, sweating, diarrhea, joint pain, nausea, appetite loss.",Anemia
"I have vomiting, fatigue, depression, sneezing, chest pain, headache, blurred vision.",Hypertension
"I have back pain, sore throat, abdominal pain, fatigue, nausea.",Parkinson'S
"I have abdominal pain, anxiety, depression, weight gain, back pain, nausea, dizziness.",Gastritis
"I have cough, vomiting, chest pain, runny nose, rash, joint pain.",Gastritis
"I have dizziness, back pain, depression.",Arthritis
"I have vomiting, headache, anxiety, chest pain, abdominal pain, weight loss.",Gastritis
"I have weight gain, blurred vision, tremors, muscle pain, chest pain, nausea.",Liver Disease
"I have swelling, tremors, depression, joint pain, nausea, appetite loss, shortness of breath.",Arthritis
"I have weight gain, shortness of breath, insomnia, joint pain, back pain, rash, cough.",Dementia
"I have joint pain, weight gain, weight loss, abdominal pain, tremors, shortness of breath, sweating.",Food Poisoning
"I have depression, sneezing, rash, shortness of breath.",Influenza
"I have insomnia, weight gain, abdominal pain, appetite loss, sweating, shortness of breath.",Gastritis
"I have blurred vision, sneezing, anxiety, sore throat.",Migraine
"I have shortness of breath, fatigue, weight loss, swelling, abdominal pain, chest pain, muscle pain.",Bronchitis
"I have shortness of breath, headache, swelling, anxiety, cough, weight gain, appetite loss.",Covid-19
"I have headache, fatigue, fever, abdominal pain, appetite loss.",Parkinson'S
"I have fever, abdominal pain, anxiety, blurred vision, shortness of breath, chest pain.",Allergy
"I have back pain, cough, rash, nausea, shortness of breath, dizziness, runny nose.",Ibs
"I have swelling, muscle pain, shortness of breath, dizziness, back pain.",Gastritis
"I have vomiting, chest pain, sneezing, shortness of breath, runny nose.",Dermatitis
"I have back pain, weight gain, diarrhea, rash.",Thyroid Disorder
"I have runny nose, depression, weight loss, shortness of breath.",Ulcer
"I have insomnia, abdominal pain, shortness of breath, dizziness, weight loss.",Thyroid Disorder
"I have back pain, tremors, insomnia, diarrhea.",Depression
"I have tremors, sore throat, fatigue.",Arthritis
"I have diarrhea, tremors, shortness of breath, fever, anxiety, blurred vision.",Arthritis
"I have weight gain, swelling, shortness of breath, diarrhea, tremors, depression.",Common Cold
"I have sweating, sneezing, fatigue, tremors, rash.",Chronic Kidney Disease
"I have shortness of breath, dizziness, weight loss, muscle pain.",Pneumonia
"I have weight gain, fever, abdominal pain.",Ibs
"I have nausea, weight gain, joint pain, depression, anxiety, headache, fatigue.",Thyroid Disorder
"I have anxiety, tremors, shortness of breath, sweating, joint pain, fever, fatigue.",Common Cold
"I have sore throat, joint pain, cough, dizziness, blurred vision, insomnia, diarrhea.",Dementia
"I have blurred vision, nausea, shortness of breath.",Migraine
"I have sweating, insomnia, fatigue, rash, joint pain, weight gain, tremors.",Liver Disease
"I have sweating, runny nose, abdominal pain, tremors, dizziness, weight loss, headache.",Parkinson'S
"I have nausea, insomnia, swelling, depression, diarrhea, blurred vision.",Dementia
"I have muscle pain, anxiety, diarrhea, weight gain.",Parkinson'S
"I have anxiety, back pain, dizziness, muscle pain.",Hypertension
"I have sneezing, fever, diarrhea, dizziness, fatigue, rash, blurred vision.",Dermatitis
"I have joint pain, headache, rash, shortness of breath.",Stroke
"I have shortness of breath, swelling, insomnia.",Parkinson'S
"I have appetite loss, weight loss, dizziness, sweating, runny nose.",Migraine
"I have joint pain, tremors, cough.",Diabetes
"I have muscle pain, chest pain, back pain.",Chronic Kidney Disease
"I have nausea, joint pain, chest pain, muscle pain.",Epilepsy
"I have vomiting, sore throat, diarrhea.",Anemia
"I have anxiety, tremors, fatigue, back pain, sneezing, nausea.",Chronic Kidney Disease
"I have fever, sneezing, diarrhea, headache, chest pain.",Covid-19
"I have abdominal pain, blurred vision, swelling.",Migraine
"I have sore throat, fever, fatigue, weight gain, appetite loss, shortness of breath, sneezing.",Food Poisoning
"I have fatigue, runny nose, depression, fever, weight gain.",Gastritis
"I have sore throat, weight gain, swelling.",Dementia
"I have dizziness, diarrhea, back pain, muscle pain, fatigue.",Bronchitis
"I have depression, fever, headache, weight loss, joint pain, blurred vision, insomnia.",Tuberculosis
"I have abdominal pain, fatigue, shortness of breath, fever.",Tuberculosis
"I have diarrhea, vomiting, shortness of breath.",Obesity
"I have appetite loss, anxiety, fever, vomiting, depression, joint pain.",Ulcer
"I have depression, blurred vision, rash.",Diabetes
"I have fatigue, sneezing, sore throat, rash, vomiting, muscle pain.",Dementia
"I have anxiety, back pain, runny nose, vomiting.",Obesity
"I have swelling, weight loss, sweating, rash, cough.",Pneumonia
"I have vomiting, swelling, weight loss, insomnia.",Allergy
"I have fever, muscle pain, diarrhea, headache, swelling, chest pain, abdominal pain.",Liver Disease
"I have back pain, blurred vision, rash, shortness of breath, fatigue, appetite loss.",Gastritis
"I have anxiety, joint pain, fatigue, dizziness, sore throat.",Chronic Kidney Disease
"I have sneezing, runny nose, appetite loss, sweating, swelling, diarrhea.",Migraine
"I have sweating, anxiety, appetite loss, swelling, vomiting, fever.",Dementia
"I have blurred vision, sweating, weight loss, headache, runny nose.",Food Poisoning
"I have appetite loss, chest pain, sore throat.",Common Cold
"I have sweating, shortness of breath, chest pain.",Dermatitis
"I have swelling, insomnia, fever.",Depression
"I have tremors, dizziness, depression, sneezing.",Anemia
"I have appetite loss, tremors, weight loss.",Stroke
"I have weight gain, muscle pain, chest pain, headache, sweating, cough, depression.",Depression
"I have vomiting, shortness of breath, diarrhea.",Dementia
"I have fatigue, diarrhea, fever, cough, runny nose.",Depression
"I have dizziness, rash, appetite loss, abdominal pain, fatigue, joint pain.",Stroke
"I have nausea, tremors, chest pain, dizziness, insomnia, back pain.",Bronchitis
"I have dizziness, chest pain, shortness of breath, sneezing, muscle pain.",Asthma
"I have fever, insomnia, sneezing, joint pain.",Dermatitis
"I have fatigue, sneezing, dizziness, tremors.",Stroke
"I have vomiting, shortness of breath, back pain.",Gastritis
"I have runny nose, sneezing, swelling.",Obesity
"I have fever, appetite loss, weight loss, insomnia, joint pain.",Covid-19
"I have vomiting, abdominal pain, diarrhea, weight gain, joint pain, blurred vision.",Asthma
"I have fever, tremors, fatigue, headache.",Migraine
"I have runny nose, weight gain, vomiting.",Dementia
"I have tremors, muscle pain, appetite loss.",Thyroid Disorder
"I have fatigue, shortness of breath, runny nose, depression.",Food Poisoning
"I have fever, diarrhea, nausea, fatigue, anxiety.",Covid-19
"I have sore throat, weight gain, headache, weight loss, abdominal pain.",Stroke
"I have abdominal pain, appetite loss, blurred vision, chest pain, insomnia.",Anemia
"I have sweating, swelling, fever.",Sinusitis
"I have fatigue, sneezing, headache, back pain, sore throat.",Bronchitis
"I have abdominal pain, sore throat, blurred vision, swelling, appetite loss, fatigue, headache.",Food Poisoning
"I have nausea, muscle pain, tremors, insomnia, headache.",Anxiety
"I have shortness of breath, headache, joint pain, fatigue.",Covid-19
"I have rash, vomiting, weight gain, nausea, dizziness, fatigue, sore throat.",Dementia
"I have diarrhea, runny nose, back pain, sore throat.",Dermatitis
"I have back pain, diarrhea, headache.",Pneumonia
"I have depression, chest pain, cough, diarrhea, rash, nausea.",Hypertension
"I have headache, sneezing, depression, insomnia, appetite loss, cough.",Diabetes
"I have swelling, blurred vision, insomnia, fatigue.",Influenza
"I have sneezing, anxiety, chest pain.",Stroke
"I have swelling, depression, tremors, abdominal pain, rash, sneezing.",Epilepsy
"I have depression, nausea, weight loss, shortness of breath, sneezing, sore throat, headache.",Anxiety
"I have depression, sneezing, anxiety, insomnia.",Food Poisoning
"I have muscle pain, rash, appetite loss, headache, sore throat.",Liver Disease
"I have headache, appetite loss, muscle pain, sweating, tremors, blurred vision.",Heart Disease
"I have runny nose, chest pain, weight loss, weight gain.",Bronchitis
"I have joint pain, vomiting, runny nose.",Gastritis
"I have anxiety, appetite loss, weight gain, depression.",Depression
"I have weight gain, insomnia, weight loss.",Bronchitis
"I have muscle pain, weight loss, vomiting, nausea.",Migraine
"I have back pain, fatigue, dizziness, sore throat, sweating, joint pain.",Common Cold
"I have rash, nausea, sneezing.",Allergy
"I have depression, fatigue, joint pain, appetite loss, swelling, muscle pain, dizziness.",Influenza
"I have dizziness, diarrhea, muscle pain, blurred vision, depression, headache.",Hypertension
"I have headache, joint pain, appetite loss, sneezing, runny nose, weight gain.",Gastritis
"I have appetite loss, dizziness, depression.",Migraine
"I have tremors, fever, weight loss.",Ibs
"I have insomnia, weight loss, joint pain, appetite loss, rash, headache, chest pain.",Pneumonia
"I have cough, fatigue, muscle pain, anxiety, nausea, sore throat, fever.",Thyroid Disorder
"I have muscle pain, tremors, fatigue, anxiety.",Asthma
"I have diarrhea, vomiting, fatigue, muscle pain, sore throat.",Depression
"I have cough, weight gain, chest pain.",Dementia
"I have rash, sweating, muscle pain.",Sinusitis
"I have insomnia, vomiting, nausea, chest pain, headache, shortness of breath, sweating.",Influenza
"I have nausea, blurred vision, chest pain.",Anemia
"I have sneezing, dizziness, shortness of breath, nausea, insomnia.",Food Poisoning
"I have fever, sweating, anxiety, fatigue.",Tuberculosis
"I have depression, shortness of breath, joint pain.",Heart Disease
"I have cough, nausea, appetite loss.",Epilepsy
